,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,transactionRevenue
610,12-04-2017,1729385,74,33,1,1348
611,12-04-2017,1729388,85,36,1,513
612,12-04-2017,1729391,85,36,1,282
613,12-04-2017,1729391,86,36,1,282
614,12-04-2017,1729393,74,33,1,1498
772,15-04-2017,1729396,21,11,1,900
773,15-04-2017,1729397,21,11,1,900
774,15-04-2017,1729398,21,11,1,900
878,17-04-2017,1729400,1,0,1,436
879,17-04-2017,1729401,1,0,1,428
880,17-04-2017,1729402,1,0,1,7748
962,18-04-2017,1729409,22,14,1,900
963,18-04-2017,1729410,22,14,1,891
964,18-04-2017,1729411,22,14,1,891
965,18-04-2017,1729412,22,14,1,891
966,18-04-2017,1729414,22,14,1,891
967,18-04-2017,1729415,22,14,1,891
968,18-04-2017,1729416,22,14,1,891
969,18-04-2017,1729417,22,14,1,891
970,18-04-2017,1729418,22,14,1,882
971,18-04-2017,1729419,22,14,1,882
972,18-04-2017,1729420,22,14,1,882
973,18-04-2017,1729421,22,14,1,900
974,18-04-2017,1729422,22,14,1,900
975,18-04-2017,1729424,22,14,1,900
976,18-04-2017,1729425,22,14,1,900
977,18-04-2017,1729426,22,14,1,900
978,18-04-2017,1729427,22,14,1,891
979,18-04-2017,1729428,22,14,1,891
980,18-04-2017,1729429,22,14,1,891
981,18-04-2017,1729430,22,14,1,900
982,18-04-2017,1729431,22,14,1,900
983,18-04-2017,1729432,22,14,1,891
984,18-04-2017,1729433,22,14,1,900
985,18-04-2017,1729434,22,14,1,900
14388,19-04-2017,1729436,16,8,1,514
14389,19-04-2017,1729438,94,42,1,900
14685,20-04-2017,1729440,10,1,1,3595
14686,20-04-2017,1729440,12,2,1,3595
14687,20-04-2017,1729445,3,0,1,249
14688,20-04-2017,1729447,2,0,1,4000
14907,21-04-2017,1729448,14,2,1,249
14908,21-04-2017,1729450,14,2,1,2725
14909,21-04-2017,1729454,14,2,1,4347
14910,21-04-2017,1729465,31,9,1,4725
15032,22-04-2017,1729466,119,46,1,11228
15033,22-04-2017,1729468,17,3,1,54500
15034,22-04-2017,1729470,120,47,1,7875
15035,22-04-2017,1729472,4,1,1,1062
15171,24-04-2017,1729475,32,12,1,45000
15230,25-04-2017,1729475,37,13,1,45000
15172,24-04-2017,1729477,25,24,1,1018
15173,24-04-2017,1729478,121,48,1,31866
15174,24-04-2017,1729479,121,48,1,3463
15175,24-04-2017,1729483,121,48,1,4530
15176,24-04-2017,1729484,1,0,1,4950
15177,24-04-2017,1729485,1,0,1,12375
15178,24-04-2017,1729486,25,24,1,14625
15179,24-04-2017,1729488,1,0,1,128
15180,24-04-2017,1729490,1,0,1,1250
15181,24-04-2017,1729492,2,0,1,128
15182,24-04-2017,1729502,2,0,1,111750
15183,24-04-2017,1729505,1,0,1,1992
15184,24-04-2017,1729507,3,0,1,143
15185,24-04-2017,1729510,1,0,1,11250
15231,25-04-2017,1729511,1,0,1,1750
