customer_id,gender,product_title,vehicle_type,make,model,trim,year,Price,city,login_count
20254751,unknown,"Hero Super Splendor 125cc 2013",Motorcycle/Bike,hero,"super splendor",125cc,2013,30000.00,Delhi,0
20251061,unknown,"Toyota Corolla 1.8E 2004",Car,toyota,corolla,1.8e,2004,175000.00,delhi,0
20265281,unknown,"Royal Enfield Classic 350cc 2016",Motorcycle/Bike,"royal enfield",classic,350cc,2016,144000.00,Bangalore,0
13727281,unknown,"Yamaha FZs 150cc 2015",Motorcycle/Bike,yamaha,fzs,150cc,2015,48999.00,Delhi,0
13727281,unknown,"Yamaha FZs 150cc 2015",Motorcycle/Bike,yamaha,fzs,150cc,2015,48999.00,Delhi,0
16375361,unknown,"Honda Activa 110cc 2015",Scooter,honda,activa,110cc,2015,48000.00,bangalore,0
12359663,unknown,"Maruti Suzuki EECO 5 STR 2010",Car,"maruti suzuki",eeco,"5 str",2010,159000.00,delhi,0
12213353,unknown,"Toyota Innova 2.5 V 7STR 2008",Car,toyota,innova,"2.5 v 7str",2008,675000.00,delhi,86
20251061,unknown,"Toyota Corolla 1.8E 2004",Car,toyota,corolla,1.8e,2004,175000.00,delhi,0
16375361,unknown,"Honda Activa 110cc 2015",Scooter,honda,activa,110cc,2015,48000.00,bangalore,0
20291751,unknown,"Honda Activa 3G 110cc 2016",Scooter,honda,"activa 3g",110cc,2016,45000.00,delhi,0
20273641,unknown,"Royal Enfield Classic 350cc 2016",Motorcycle/Bike,"royal enfield",classic,350cc,2016,140000.00,Delhi,0
19418041,unknown,"droom Basic Pro Seller",,,,,,0.00,delhi,0
20251501,unknown,"Maruti Suzuki Swift ZDi 2012",Car,"maruti suzuki",swift,zdi,2012,435000.00,Muzaffarnagar,0
20273641,unknown,"Royal Enfield Classic 350cc 2016",Motorcycle/Bike,"royal enfield",classic,350cc,2016,140000.00,Delhi,0
20275831,unknown,"Mahindra Bolero SLX 2013",Car,mahindra,bolero,slx,2013,600000.00,ludhiana,0
20252861,unknown,"Hero CD Deluxe 100cc 2014",Motorcycle/Bike,hero,"cd deluxe",100cc,2014,34500.00,ahmedabad,0
17141,unknown,"Maruti Suzuki Swift ZDi 2014",Car,"maruti suzuki",swift,zdi,2014,495000.00,"gautam buddha nagar",308
20252831,unknown,"Honda CB Shine 125cc 2013",Motorcycle/Bike,honda,"cb shine",125cc,2013,29500.00,ahmedabad,0
17141,unknown,"Maruti Suzuki Swift ZDi 2014",Car,"maruti suzuki",swift,zdi,2014,495000.00,"gautam buddha nagar",308
20252821,unknown,"Hero Splendor Plus 100cc 2013",Motorcycle/Bike,hero,"splendor plus",100cc,2013,30500.00,ahmedabad,0
19963351,unknown,"Honda Dream Yuga 109cc 2014",Motorcycle/Bike,honda,"dream yuga",109cc,2014,36000.00,ahmedabad,0
20245841,unknown,"Honda Dio 110 2015",Scooter,honda,dio,110,2015,51000.00,Bangalore,0
20255071,unknown,"Hero Passion Pro 100cc 2009",Motorcycle/Bike,hero,"passion pro",100cc,2009,25000.00,pune,0
20269161,unknown,"Skoda Superb 1.8 TFSIAT 2009",Car,skoda,superb,"1.8 tfsiat",2009,775000.00,mumbai,0
20296321,unknown,"Bajaj Avenger Street 150 2017",Motorcycle/Bike,bajaj,avenger,"street 150",2017,82000.00,delhi,0
20289561,unknown,"Honda Amaze 1.2 S i-VTEC 2015",Car,honda,amaze,"1.2 s i-vtec",2015,565000.00,delhi,0
20225151,unknown,"Auto Inspection - Extensive Car Inspection","Auto Inspection",,,,,549.00,gurgaon,0
19877001,unknown,"Hero Passion PRO  100 cc 2010",Motorcycle/Bike,hero,"passion pro",100cc,2010,28000.00,Jaipur,0
20296321,unknown,"Bajaj Avenger Street 150 2017",Motorcycle/Bike,bajaj,avenger,"street 150",2017,82000.00,delhi,0
20300071,unknown,"Yamaha YZF-R1 1679cc 2013","Super Bike",Yamaha,YZF-R1,1679cc,2013,1000000.00,Medinipur,0
20173851,unknown,"Yamaha FZ 150cc 2015",Motorcycle/Bike,yamaha,fz,150cc,2015,59000.00,pune,0
20255221,unknown,"Piaggio Vespa 125 cc 2012",Scooter,piaggio,vespa,"125 cc",2012,30000.00,Delhi,0
20254731,unknown,"Honda Activa 110cc 2010",Scooter,honda,activa,110cc,2010,23000.00,Delhi,0
19743251,unknown,"Hyundai i20 1.2 Asta 2011",Car,hyundai,i20,"asta 1.2",2011,350000.00,Pune,0
20253351,unknown,"Honda Activa 110cc 2008",Scooter,honda,activa,110cc,2008,24000.00,Pune,0
20305291,unknown,"droom Pro Seller 3-month Subscription fee",,,,,,4600.00,Hazaribagh,0
20253391,unknown,"Yamaha FZ 150cc 2012",Motorcycle/Bike,yamaha,fz,150cc,2012,45000.00,Pune,0
20253401,unknown,"Hero Splendor 100cc 1999",Motorcycle/Bike,hero,splendor,100cc,1999,18000.00,Pune,0
20305461,unknown,"Honda Activa 110 cc 2010",Scooter,honda,activa,"110 cc",2010,62000.00,pune,0
20305461,unknown,"Honda Activa 110 cc 2009",Scooter,honda,activa,"110 cc",2009,62000.00,pune,0
20305461,unknown,"Honda Activa 110 cc 2010",Scooter,honda,activa,"110 cc",2010,32000.00,pune,0
20305461,unknown,"Honda Activa 110 cc 2009",Scooter,honda,activa,"110 cc",2009,30000.00,pune,0
16417101,unknown,"Yamaha YZF-R15 150cc 2011",Motorcycle/Bike,yamaha,yzf-r15,150cc,2011,55000.00,Purnia,0
20245331,unknown,"Honda Navi 110 cc 2016",Scooter,honda,navi,"110 cc",2016,38000.00,ahmedabad,0
20245301,unknown,"Honda Dream Yuga 110cc 2016",Motorcycle/Bike,honda,"dream yuga",110cc,2016,43000.00,ahmedabad,0
20235501,unknown,"Honda Activa 110cc 2012",Scooter,honda,activa,110cc,2012,32000.00,ahmedabad,0
20223671,unknown,"Honda Activa 110cc 2008",Scooter,honda,activa,110cc,2008,24000.00,ahmedabad,0
20310471,unknown,"Benelli Benelli TNT 25 250 cc 2016","Super Bike",benelli,"benelli tnt 25","250 cc",2016,155000.00,delhi,0
20254731,unknown,"Honda Activa 110cc 2010",Scooter,honda,activa,110cc,2010,23000.00,Delhi,0
20310471,unknown,"Benelli Benelli TNT 25 250 cc 2016","Super Bike",benelli,"benelli tnt 25","250 cc",2016,155000.00,delhi,0
20310471,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313881,unknown,"Gift Certificate",,,,,0,5000.00,howrah,0
20223671,unknown,"Honda Activa 110cc 2008",Scooter,honda,activa,110cc,2008,24000.00,ahmedabad,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20314341,unknown,"Yamaha FZ 150cc 2014",Motorcycle/Bike,yamaha,fz,150cc,2014,42000.00,Udhampur,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313581,unknown,"Honda Activa 3G 110cc 2015",Scooter,honda,"activa 3g",110cc,2015,42000.00,Ahmedabad,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20310471,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20310471,unknown,"Mahindra XUV500 W4 1.99 2016",Car,mahindra,xuv500,"w4 1.99",2016,1200000.00,delhi,0
20315451,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20313821,unknown,"Gift Certificate",,,,,0,5000.00,kolkata,0
20315451,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20315451,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
15632351,unknown,"droom Pro Seller 12-month Subscription fee",,,,,,34500.00,faridabad,0
15450961,unknown,"droom Pro Seller 12-month Subscription fee",,,,,,34500.00,delhi,0
20311581,unknown,"Honda Activa 110cc 2012",Scooter,honda,activa,110cc,2012,28000.00,delhi,0
20281841,unknown,"Gift Certificate",,,,,0,100.00,Maharajganj,0
20320381,unknown,"Bajaj Avenger 220cc 2012",Motorcycle/Bike,bajaj,avenger,220cc,2012,49000.00,Berhampore,0
