,date,transactionId,daysSinceLastSession,browser,users,sessions,pageviews
1,01-03-2017,1277386,0,Chrome,1,0,0
2,01-03-2017,1277387,0,Chrome,1,0,0
3,01-03-2017,1277389,0,Chrome,1,0,0
4,01-03-2017,1277392,0,Chrome,1,0,0
5,01-03-2017,1280410,0,Chrome,1,0,0
6,01-03-2017,1280422,0,Chrome,1,0,0
7,01-03-2017,1280425,0,Chrome,1,0,0
8,01-03-2017,1280431,0,Chrome,1,0,0
9,01-03-2017,1280473,0,Chrome,1,0,0
10,01-03-2017,1280482,0,Chrome,1,0,0
11,01-03-2017,1280491,0,Chrome,1,0,0
12,01-03-2017,1280494,0,Chrome,1,0,0
13,01-03-2017,1280497,0,Chrome,1,0,0
14,01-03-2017,1280512,0,Chrome,1,0,0
15,01-03-2017,1280515,0,Chrome,1,0,0
16,01-03-2017,1280521,0,Chrome,1,0,0
17,01-03-2017,1280557,0,Chrome,1,0,0
18,01-03-2017,1280563,0,Chrome,1,0,0
19,01-03-2017,1280566,0,Chrome,1,0,0
20,01-03-2017,1280578,0,Chrome,1,0,0
21,01-03-2017,1280581,0,Chrome,1,0,0
22,01-03-2017,1280584,0,Chrome,1,0,0
23,01-03-2017,1280590,0,Chrome,1,0,0
24,01-03-2017,1669101,0,Chrome,1,1,0
25,01-03-2017,1669101,1,Chrome,1,0,0
26,01-03-2017,1717781,3,Chrome,1,1,0
27,01-03-2017,1735911,0,Chrome,1,0,0
28,01-03-2017,1735931,0,Chrome,1,0,0
29,01-03-2017,1736021,0,Chrome,1,0,0
30,01-03-2017,1736111,0,Chrome,1,0,0
31,01-03-2017,1736121,0,Chrome,1,0,0
32,01-03-2017,1736151,0,Chrome,1,0,0
33,01-03-2017,1736221,0,Firefox,1,0,0
34,01-03-2017,1736271,1,Chrome,1,0,0
35,01-03-2017,1736301,11,Firefox,1,0,0
36,01-03-2017,1736311,0,Chrome,1,0,0
37,01-03-2017,1736321,0,Chrome,1,0,0
38,01-03-2017,1736331,0,Chrome,1,0,0
39,01-03-2017,1736351,0,Chrome,1,0,0
40,01-03-2017,1736361,0,Chrome,1,0,0
41,01-03-2017,1736381,0,Chrome,1,0,0
42,01-03-2017,1736401,0,Chrome,1,0,0
43,01-03-2017,1736411,0,Chrome,1,0,0
44,01-03-2017,1736421,0,Chrome,1,0,0
45,01-03-2017,1736441,0,Chrome,1,0,0
46,01-03-2017,1736471,0,Chrome,1,0,0
47,01-03-2017,1736491,0,Chrome,1,0,0
48,01-03-2017,1736501,0,Firefox,1,0,0
49,01-03-2017,1736511,0,Chrome,1,0,0
50,01-03-2017,1736541,0,Chrome,1,0,0
51,01-03-2017,1736551,0,Chrome,1,0,0
52,01-03-2017,1736581,0,Chrome,1,0,0
53,01-03-2017,1736691,0,Edge,1,0,0
54,01-03-2017,1736751,0,Chrome,1,0,0
55,02-03-2017,1277400,0,Chrome,1,0,0
56,02-03-2017,1277401,0,Chrome,1,0,0
57,02-03-2017,1737101,0,Chrome,1,0,0
58,02-03-2017,1737251,0,Firefox,1,0,0
59,02-03-2017,1737261,2,Chrome,1,0,0
60,02-03-2017,1737291,0,Chrome,1,0,0
61,02-03-2017,1737481,0,Chrome,1,0,0
62,02-03-2017,1737601,0,Opera,1,0,0
63,02-03-2017,1737721,0,Chrome,1,0,0
64,02-03-2017,1737741,0,Chrome,1,0,0
65,02-03-2017,1737751,0,Chrome,1,0,0
66,02-03-2017,1737771,0,Chrome,1,0,0
67,02-03-2017,1737791,0,Chrome,1,0,0
68,02-03-2017,1737851,0,Internet Explorer,1,0,0
69,02-03-2017,1737861,0,Chrome,1,0,0
70,02-03-2017,1737871,0,Chrome,1,0,0
71,02-03-2017,1737881,0,Chrome,1,0,0
72,02-03-2017,1737901,0,Chrome,1,0,0
73,02-03-2017,1737921,0,Firefox,1,0,0
74,02-03-2017,1737971,0,Safari,1,0,0
75,02-03-2017,1737981,0,Chrome,1,0,0
76,02-03-2017,1737991,0,Chrome,1,0,0
77,02-03-2017,1738031,0,Chrome,1,0,0
78,02-03-2017,1738041,4,Chrome,1,0,0
79,02-03-2017,1738071,0,Firefox,1,0,0
80,02-03-2017,1738091,0,Chrome,1,0,0
81,02-03-2017,1738101,0,Chrome,1,0,0
82,02-03-2017,1738131,0,Safari,1,0,0
83,02-03-2017,1738261,5,Safari,1,0,0
84,03-03-2017,1277402,0,Chrome,1,0,0
85,03-03-2017,1277404,0,Chrome,1,0,0
86,03-03-2017,1277407,0,Chrome,1,0,0
87,03-03-2017,1277752,2,Firefox,1,0,0
88,03-03-2017,1277760,0,Chrome,1,0,0
89,03-03-2017,1277761,0,Chrome,1,0,0
90,03-03-2017,1277763,0,Firefox,1,0,0
91,03-03-2017,1277765,0,Chrome,1,0,0
92,03-03-2017,1280608,0,Chrome,1,0,0
93,03-03-2017,1280614,0,Chrome,1,0,0
94,03-03-2017,1280653,0,Chrome,1,0,0
95,03-03-2017,1609081,6,Chrome,1,0,0
96,03-03-2017,1622111,2,Firefox,1,0,0
97,03-03-2017,1727727,0,Chrome,1,0,0
98,03-03-2017,1727729,0,Chrome,1,0,0
99,03-03-2017,1727730,0,Chrome,1,0,0
100,03-03-2017,1727732,0,Chrome,1,0,0
101,03-03-2017,1738031,0,Chrome,1,0,0
102,03-03-2017,1738391,0,Chrome,1,0,0
103,03-03-2017,1738401,0,Chrome,1,0,0
104,03-03-2017,1738431,0,Chrome,1,0,0
105,03-03-2017,1738451,0,Chrome,1,0,0
106,03-03-2017,1738471,0,Chrome,1,0,0
107,03-03-2017,1738481,0,Chrome,1,0,0
108,03-03-2017,1742491,2,Chrome,1,0,0
109,03-03-2017,1742601,4,Safari,1,0,0
110,03-03-2017,1742611,0,Safari,1,0,0
111,03-03-2017,1742721,0,Chrome,1,0,0
112,03-03-2017,1742771,0,Chrome,1,0,0
113,03-03-2017,1742801,0,Chrome,1,0,0
114,03-03-2017,1742821,0,Chrome,1,0,0
115,03-03-2017,1742851,0,Chrome,1,0,0
116,03-03-2017,1742921,0,Chrome,1,0,0
117,03-03-2017,1743021,0,Chrome,1,0,0
118,03-03-2017,1743091,0,Chrome,1,0,0
119,03-03-2017,1743111,0,Chrome,1,0,0
120,03-03-2017,1743121,0,Chrome,1,0,0
121,03-03-2017,1743131,0,Chrome,1,0,0
122,03-03-2017,1743191,0,Chrome,1,0,0
123,03-03-2017,1743201,0,Chrome,1,0,0
124,03-03-2017,1743211,0,YaBrowser,1,0,0
125,03-03-2017,1743221,0,Chrome,1,0,0
126,03-03-2017,1743231,0,Chrome,1,0,0
127,03-03-2017,1743241,0,Safari,1,0,0
128,03-03-2017,1743251,0,Chrome,1,0,0
129,03-03-2017,1743291,0,Chrome,1,0,0
130,03-03-2017,1743341,0,Firefox,1,0,0
131,03-03-2017,1743351,0,Chrome,1,0,0
132,03-03-2017,1743391,0,Chrome,1,0,0
133,03-03-2017,1743411,1,Chrome,1,0,0
134,03-03-2017,1743421,0,Chrome,1,0,0
135,03-03-2017,1743441,0,Chrome,1,0,0
136,03-03-2017,1743451,6,Chrome,1,0,0
137,03-03-2017,1743461,1,Chrome,1,0,0
138,03-03-2017,1743501,1,Chrome,1,0,0
139,03-03-2017,1743541,1,Chrome,1,0,0
140,03-03-2017,1743601,1,Chrome,1,0,0
141,03-03-2017,1743611,0,Chrome,1,0,0
142,03-03-2017,1743651,1,Chrome,1,0,0
143,03-03-2017,1743681,1,Chrome,1,0,0
144,03-03-2017,1743691,1,Chrome,1,0,0
145,03-03-2017,1743751,0,Chrome,1,0,0
146,03-03-2017,1743821,0,Chrome,1,0,0
