GA_REVENUE,daysSinceLastSession,browser,mobileDeviceBranding,newOrReturning,hour,dayOfWeekName,orderCouponCode,shoppingStage,transactions,checkoutOptions,buyToDetailRate,transactionsPerSession,transactionShipping,transactionTax,uniquePurchases,cartToDetailRate,quantityAddedToCart,quantityCheckedOut,quantityRemovedFromCart,sessions_to_transaction,days_to_transaction,type
675,0,Firefox,none,Returning Visitor,17,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,0,0
499,0,Safari,Apple,Returning Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
5300,0,Chrome,none,New Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
4000,0,Chrome,none,Returning Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
838,0,Chrome,none,Returning Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,24,89,0
13500,4,Chrome,none,Returning Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,11,48,0
800,0,Firefox,none,New Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
4300,0,Chrome,none,New Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
9000,0,Chrome,none,Returning Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,0,0
1700,0,Safari,Apple,Returning Visitor,18,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,22,129,0
1050,5,Safari,none,Returning Visitor,19,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,5,0
8000,0,Chrome,none,Returning Visitor,11,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,16,6,0
4000,0,Chrome,none,Returning Visitor,11,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,16,6,0
4000,0,Chrome,none,Returning Visitor,11,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,16,6,0
3700,0,Chrome,none,Returning Visitor,11,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,16,6,0
5000,0,Chrome,none,Returning Visitor,11,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,16,6,0
5000,0,Chrome,none,Returning Visitor,11,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,16,6,0
1000,2,Chrome,none,Returning Visitor,12,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,2,0
68500,4,Safari,none,Returning Visitor,13,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,4,0
282,0,Safari,none,Returning Visitor,13,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,5,0
4099,0,Chrome,none,Returning Visitor,14,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,23,4,0
10000,0,Chrome,none,New Visitor,14,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
775,0,Chrome,none,Returning Visitor,15,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,20,3,0
6400,0,Chrome,none,New Visitor,15,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
950,0,Chrome,none,Returning Visitor,15,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
13200,0,Chrome,none,New Visitor,15,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
4900,0,Chrome,none,Returning Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,74,82,0
5600,0,Chrome,none,New Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
5200,0,Chrome,none,New Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
2300,0,Chrome,none,New Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
7500,0,Chrome,none,Returning Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,74,82,0
12500,0,Chrome,none,Returning Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,74,82,0
575,0,Chrome,none,Returning Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,27,9,0
4800,0,YaBrowser,none,Returning Visitor,16,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,33,76,0
600,0,Chrome,none,Returning Visitor,17,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,27,9,0
725,0,Safari,Apple,Returning Visitor,17,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,4,0
800,0,Chrome,none,Returning Visitor,17,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,27,9,0
925,0,Chrome,none,Returning Visitor,17,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,5,6,0
