"","date","transactionId","userType","users","sessions","pageviews"
"1",2017-03-01,"1277386","Returning Visitor",1,0,0
"2",2017-03-01,"1277387","Returning Visitor",1,0,0
"3",2017-03-01,"1277389","Returning Visitor",1,0,0
"4",2017-03-01,"1277392","Returning Visitor",1,0,0
"5",2017-03-01,"1280410","New Visitor",1,0,0
"6",2017-03-01,"1280422","Returning Visitor",1,0,0
"7",2017-03-01,"1280425","Returning Visitor",1,0,0
"8",2017-03-01,"1280431","Returning Visitor",1,0,0
"9",2017-03-01,"1280473","Returning Visitor",1,0,0
"10",2017-03-01,"1280482","Returning Visitor",1,0,0
"11",2017-03-01,"1280491","Returning Visitor",1,0,0
"12",2017-03-01,"1280494","New Visitor",1,0,0
"13",2017-03-01,"1280497","New Visitor",1,0,0
"14",2017-03-01,"1280512","Returning Visitor",1,0,0
"15",2017-03-01,"1280515","Returning Visitor",1,0,0
"16",2017-03-01,"1280521","Returning Visitor",1,0,0
"17",2017-03-01,"1280557","Returning Visitor",1,0,0
"18",2017-03-01,"1280563","Returning Visitor",1,0,0
"19",2017-03-01,"1280566","Returning Visitor",1,0,0
"20",2017-03-01,"1280578","Returning Visitor",1,0,0
"21",2017-03-01,"1280581","Returning Visitor",1,0,0
"22",2017-03-01,"1280584","Returning Visitor",1,0,0
"23",2017-03-01,"1280590","Returning Visitor",1,0,0
"24",2017-03-01,"1669101","Returning Visitor",1,1,0
"25",2017-03-01,"1717781","Returning Visitor",1,1,0
"26",2017-03-01,"1735911","Returning Visitor",1,0,0
"27",2017-03-01,"1735931","Returning Visitor",1,0,0
"28",2017-03-01,"1736021","Returning Visitor",1,0,0
"29",2017-03-01,"1736111","Returning Visitor",1,0,0
"30",2017-03-01,"1736121","Returning Visitor",1,0,0
"31",2017-03-01,"1736151","Returning Visitor",1,0,0
"32",2017-03-01,"1736221","New Visitor",1,0,0
"33",2017-03-01,"1736271","Returning Visitor",1,0,0
"34",2017-03-01,"1736301","Returning Visitor",1,0,0
"35",2017-03-01,"1736311","Returning Visitor",1,0,0
"36",2017-03-01,"1736321","Returning Visitor",1,0,0
"37",2017-03-01,"1736331","Returning Visitor",1,0,0
"38",2017-03-01,"1736351","Returning Visitor",1,0,0
"39",2017-03-01,"1736361","Returning Visitor",1,0,0
"40",2017-03-01,"1736381","Returning Visitor",1,0,0
"41",2017-03-01,"1736401","Returning Visitor",1,0,0
"42",2017-03-01,"1736411","Returning Visitor",1,0,0
"43",2017-03-01,"1736421","Returning Visitor",1,0,0
"44",2017-03-01,"1736441","Returning Visitor",1,0,0
"45",2017-03-01,"1736471","Returning Visitor",1,0,0
"46",2017-03-01,"1736491","Returning Visitor",1,0,0
"47",2017-03-01,"1736501","Returning Visitor",1,0,0
"48",2017-03-01,"1736511","Returning Visitor",1,0,0
