,date,transactionId,mobileDeviceBranding,users,sessions,pageviews
1,01-03-2017,1669101,Xiaomi,1,1,0
2,01-03-2017,1717781,Xiaomi,1,1,0
3,01-03-2017,1736351,Samsung,1,0,0
4,02-03-2017,1737771,Lenovo,1,0,0
5,02-03-2017,1737881,Samsung,1,0,0
6,02-03-2017,1737971,Apple,1,0,0
7,02-03-2017,1738131,Apple,1,0,0
8,03-03-2017,1743241,Apple,1,0,0
9,03-03-2017,1743861,Apple,1,0,0
10,04-03-2017,1277440,Samsung,1,0,0
11,04-03-2017,1518781,Motorola,1,1,0
12,04-03-2017,1717781,Xiaomi,1,1,0
13,04-03-2017,1727838,Apple,1,0,0
14,04-03-2017,1727896,Apple,1,0,0
15,04-03-2017,1727915,Apple,1,0,0
16,04-03-2017,1744721,Apple,1,0,0
17,04-03-2017,1745111,Samsung,1,0,0
18,04-03-2017,1745371,Samsung,1,0,0
19,04-03-2017,1745431,Samsung,1,0,0
20,04-03-2017,1745581,Apple,1,0,0
21,05-03-2017,1551981,Xiaomi,1,0,0
22,05-03-2017,1727929,Apple,1,0,0
23,05-03-2017,1727931,Apple,1,0,0
24,05-03-2017,1727933,Apple,1,0,0
25,05-03-2017,1746011,Apple,1,0,0
26,05-03-2017,1746371,Apple,1,0,0
27,05-03-2017,1746381,Apple,1,0,0
28,05-03-2017,1746461,(not set),1,0,0
29,06-03-2017,1728012,Google,1,0,0
30,06-03-2017,1746901,Apple,1,0,0
31,07-03-2017,1748361,Apple,1,0,0
32,07-03-2017,1748401,Samsung,1,0,0
33,07-03-2017,1749861,Apple,1,0,0
34,07-03-2017,1750251,Samsung,1,0,0
35,08-03-2017,1751221,Samsung,1,0,0
36,08-03-2017,1751711,Samsung,1,0,0
37,08-03-2017,1751771,Samsung,1,0,0
38,08-03-2017,1751811,Samsung,1,0,0
39,08-03-2017,1752261,Samsung,1,0,0
40,09-03-2017,1752831,Samsung,1,0,0
41,09-03-2017,1753501,Apple,1,0,0
42,09-03-2017,1755041,Samsung,1,0,0
43,10-03-2017,1667671,Xiaomi,1,0,0
44,10-03-2017,1728096,Google,1,0,0
45,10-03-2017,1756091,Apple,1,0,0
46,10-03-2017,1756811,Apple,1,0,0
47,10-03-2017,1757481,Samsung,1,0,0
48,10-03-2017,1757611,LeEco,1,0,0
49,11-03-2017,1758061,Lenovo,1,0,0
50,11-03-2017,1758101,Apple,1,0,0
51,11-03-2017,1758811,Samsung,1,0,0
52,11-03-2017,1758931,Samsung,1,0,0
53,11-03-2017,1759021,Samsung,1,0,0
54,11-03-2017,1759201,Apple,1,0,0
55,11-03-2017,1759801,Xiaomi,1,0,0
56,12-03-2017,1758931,Samsung,1,0,0
57,12-03-2017,1760571,Microsoft,1,0,0
58,13-03-2017,1761281,Apple,1,0,0
59,13-03-2017,1761601,Samsung,1,0,0
60,13-03-2017,1761611,Samsung,1,0,0
61,13-03-2017,1761631,Samsung,1,0,0
62,14-03-2017,1758931,Samsung,1,2,0
63,14-03-2017,1761951,(not set),1,1,0
64,14-03-2017,1764111,Apple,1,0,0
65,15-03-2017,1758931,Samsung,1,1,0
66,15-03-2017,1765661,Apple,1,0,0
67,15-03-2017,1765871,LeTV,1,0,0
68,15-03-2017,1766641,Apple,1,0,0
69,15-03-2017,1766681,Apple,1,0,0
70,16-03-2017,1758931,Samsung,1,1,0
71,16-03-2017,1768071,Motorola,1,0,0
72,16-03-2017,1768231,Apple,1,0,0
73,16-03-2017,1769001,HTC,1,0,0
74,16-03-2017,1769041,HTC,1,0,0
75,16-03-2017,1770651,Samsung,1,0,0
76,16-03-2017,1770731,Samsung,1,0,0
77,16-03-2017,1770741,Samsung,1,0,0
78,17-03-2017,1758931,Samsung,1,0,0
79,17-03-2017,1772331,Xiaomi,1,0,0
80,17-03-2017,1772391,MediaTek,1,0,0
81,17-03-2017,1772531,(not set),1,0,0
82,17-03-2017,1772731,Lenovo,1,0,0
83,17-03-2017,1772801,Xiaomi,1,0,0
84,17-03-2017,1772851,Intex,1,0,0
